x,y,x_g,y_g,wall_top,wall_bot,wall_left,wall_right,bomb_top,bomb_bot,bomb_left,bomb_right,near_top,near_bot,near_left,near_right,action
5,18,16,2,False,False,False,False,False,False,False,True,False,True,True,False,left
5,19,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
4,19,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
3,19,16,2,False,False,False,False,False,False,True,False,False,True,True,False,down
4,19,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
4,18,16,2,False,False,False,False,True,False,False,False,False,True,True,False,left
3,18,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
2,18,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
2,19,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
2,18,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
2,19,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
2,18,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
2,17,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
1,17,16,2,False,False,False,False,True,False,False,False,False,True,True,False,down
1,16,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
1,17,16,2,False,False,False,False,True,False,False,False,False,True,True,False,down
1,16,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
2,16,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
3,16,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
3,17,16,2,False,False,False,False,False,False,False,True,False,True,True,False,left
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
3,17,16,2,False,False,False,False,False,False,False,True,False,True,True,False,left
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
5,17,16,2,False,False,False,False,False,False,True,False,False,True,True,False,up
5,16,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
5,17,16,2,False,False,False,False,False,False,True,False,False,True,True,False,up
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
5,17,16,2,False,False,False,False,False,False,True,False,False,True,True,False,up
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
4,16,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
4,16,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
4,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
4,14,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
5,14,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
5,13,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
5,14,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
5,13,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
5,14,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
6,14,16,2,False,False,False,False,False,False,False,True,False,True,True,False,left
6,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
6,14,16,2,False,False,False,False,False,False,False,True,False,True,True,False,left
7,14,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
7,13,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
7,12,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
8,12,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,10,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
8,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
7,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,10,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
8,9,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
7,9,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
7,10,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
8,10,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
7,10,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
7,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,11,16,2,False,False,False,True,False,False,False,False,False,True,True,False,down
6,10,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
5,10,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,10,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
7,10,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
7,9,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,9,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
8,10,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
